period,reporterDesc,partnerDesc,cmdDesc,flowDesc,primaryValue_Millions
2021,United Arab Emirates,Singapore,Precious Metals (HS 71),Import,724.04
2021,United Arab Emirates,Singapore,Precious Metals (HS 71),Export,1037.56
2021,United Arab Emirates,Singapore,Electronics (HS 85),Import,55.08
2021,United Arab Emirates,Singapore,Electronics (HS 85),Export,78.81
2022,United Arab Emirates,Singapore,Precious Metals (HS 71),Import,876.11
2022,United Arab Emirates,Singapore,Precious Metals (HS 71),Export,1492.83
2022,United Arab Emirates,Singapore,Electronics (HS 85),Import,72.94
2022,United Arab Emirates,Singapore,Electronics (HS 85),Export,84.13
2023,United Arab Emirates,Singapore,Precious Metals (HS 71),Import,631.42
2023,United Arab Emirates,Singapore,Precious Metals (HS 71),Export,1646.73
2023,United Arab Emirates,Singapore,Electronics (HS 85),Import,128.9
2023,United Arab Emirates,Singapore,Electronics (HS 85),Export,85.27
