period,reporterDesc,partnerDesc,cmdDesc,flowDesc,primaryValue_Millions
2021,Singapore,United Arab Emirates,Precious Metals (HS 71),Import,823.87
2021,Singapore,United Arab Emirates,Precious Metals (HS 71),Export,939.99
2021,Singapore,United Arab Emirates,Electronics (HS 85),Import,28.22
2021,Singapore,United Arab Emirates,Electronics (HS 85),Export,754.88
2022,Singapore,United Arab Emirates,Precious Metals (HS 71),Import,1012.76
2022,Singapore,United Arab Emirates,Precious Metals (HS 71),Export,1062.17
2022,Singapore,United Arab Emirates,Electronics (HS 85),Import,37.96
2022,Singapore,United Arab Emirates,Electronics (HS 85),Export,948.96
2023,Singapore,United Arab Emirates,Precious Metals (HS 71),Import,1101.08
2023,Singapore,United Arab Emirates,Precious Metals (HS 71),Export,803.57
2023,Singapore,United Arab Emirates,Electronics (HS 85),Import,25.0
2023,Singapore,United Arab Emirates,Electronics (HS 85),Export,1108.95
2024,Singapore,United Arab Emirates,Precious Metals (HS 71),Import,1111.63
2024,Singapore,United Arab Emirates,Precious Metals (HS 71),Export,874.71
2024,Singapore,United Arab Emirates,Electronics (HS 85),Import,35.72
2024,Singapore,United Arab Emirates,Electronics (HS 85),Export,1064.46
